AREA;UBICACIÓN;MCC;TYPE;TAG  Motor;EQUIPAMENT DESCRIPTION;Manufacture;Model Number;Serial Number;Type2;HP;Power (KW);Voltage (V);Current (A);RPM;Frecuencia;Fase;Rendimiento/Factor de Potencia;Factor Servicio;Nema Nom Eff (Eficiencia Nominal)100%;Guar Min Eff (Eficiencia mínima);Frame;Rodam OOP DRIVE;Rodam DRIVE END;Temp Max Amb;Insul Class Clase de Aislamiento;CODE;Weight / Peso (lb.);Amb;Ope;Lub;Tip
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de celda de flotacion cleaner 4 de molibdeno;WEG;NF;1019050025;NF;20.11;15;460;23.7;1165;60;3;0.88;1.15;90.2;NF;180L-06;6311-C3;6211-C3;20;F;NF;212 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de celda de flotacion cleaner 4 de molibdeno;WEG;NF;1019050024;NF;20.11;15;460;23.7;1165;60;3;0.88;1.15;90.2;NF;180L-06;6311-C3;6211-C3;20;F;NF;212 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de extractor de lavador de flotacion de molibdeno;WEG;TE1BFOXO#;1021662737;NF;7.50;5.5;460;9.3;1775;60;3;0.81;1.15;91.5;NF;132M/L;6308-ZZ;6207-ZZ;40;F;NF;89 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de extractor de lavador de flotacion de molibdeno;WEG;TE1BFOXO#;1021662736;NF;7.50;5.5;460;9.3;1775;60;3;0.81;1.15;91.5;NF;132M/L;6308-ZZ;6207-ZZ;40;F;NF;89 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;MOLYBDENUM CONCENTRATE FILTER POWER PACK COOLING FAN;na;na;na;na;0.40;0.3;460;0.65;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;MOLYBDENUM DRYER SCRUBBER FAN ;WEG;TE1BFOXO#;1027638841;20;20.00;15;460;32.61;3535;60;3;0.87;1.15;91.5;NF;160L;6309-C3;6309-Z-C3;40;F;na;132 Kg;na;na;na;na
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de alimentador helicoidal a secador de molibdeno;WEG;M8 W22 PREMIUM E3;1019968172;NF;0.88;0.66;460;1.3;1710;60;3;0.8;1.15;NF;NF;L88W22;6204-ZZ;6203-ZZ;40;H;NF;na;R;P;S;G
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de alimentador helicoidal a secador de molibdeno;WEG;NF;1018478656;132S;7.37;5.5;460;9.25;1770;60;3;0.82;1.00;NF;NF;132S;6308-ZZ;6208-ZZ;40;H;NF;72 Kg;na;na;na;na
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de agitador de tanque acondicionador rougher de molibdeno;WEG;BFGCE8;201388309;BFGCE8;7.37;5.5;460;9.7;1735;60;3;0.85;NF;NF;NF;132M-4;NF;NF;NF;NF;NF;93.5 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de agitador de tanque acondicionador cleaner 1 de mmolibdeno;WEG;BFGCE8;201387995;BFGCE8;20.11;15;460;24.5;1770;60;3;0.86;NF;NF;NF;180M-4;NF;NF;NF;NF;NF;215 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;MOLYBDENUM CLEANER 2 CONDITIONING TANK AGITATOR;WEG;BFGCE8;201388310;BFGCE8;7.37;5.5;460;9.7;1735;60;3;0.85;NF;NF;NF;132M-4;NF;NF;NF;NF;NF;93.5 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;MOLYBDENUM FILTER FEED TANK AGITATOR ;WEG;BFGCE8;201388250;BFGCE8;7.37;5.5;460;9.7;1750;60;3;0.82;NF;NF;NF;132M-4;NF;NF;NF;NF;NF;93.5 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de agitador de tanque acondicionador rougher de molibdeno;WEG;BFGCE8;201388310;BFGCE8;7.37;5.5;460;9.7;1735;60;3;0.85;NF;NF;NF;132M-4;NF;NF;NF;NF;NF;93.5 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;SPARE REAGENT MIXING TANK AGITATOR;WEG;BFGCE8;201388310;BFGCE8;7.37;5.5;460;8.8;1770;60;3;0.85;NF;91.0;NF;160L-4;6309-2Z-C3;6309-2Z-C3;40;NF;NF;178 Kg;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;PROMOTER MIXING TANK AGITATOR ;na;na;na;na;7.37;5.5;460;11.96;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;PROMOTER DISTRIBUTION TANK AGITATOR ;WEG;TE1BFOXO#;NF;NF;1.00;0.75;460;1.39;1741;60;3;0.82;1;82.6;80;90S;6205-ZZ;6204-ZZ;40;F;NF;18.5 Kg;R;I;S;G
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba de alimentacion a filtro de concentrado de molibdeno;TECO;AEMBUC-DCN;6136613004;NF;20.11;15;460;24.2;1775;60;3;NF;1.15;93;NF;D180MC;6311ZZ;6310ZZ;20;F;NF;208 Kg;R;I;S;G
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;MOLYBDENUM FILTER CLOTH WASH WATER PUMP ;GRUNDFOS;85U07526;9235;160C;20.11;15;380/460;29.6/25.3;3550;60;3;0.9/0.86;1.00;91.3;NF;NF;6309-BE;6209-C4;40;F;NF;NF;R;P;S;G
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;MOLYBDENUM FILTER MANIFOLD FLUSH WATER PUMP ;WEG;NF;1018277989;NF;20.11;15;220/480;25.3;1170;60;3;0.9/0.86;NF;90.2/91.0;NF;160MD2;6309-C3;6209--Z-C3;NF;NF;NF;NF;R;P;S;G
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;MOLYBDENUM FILTER PRESSING WATER PUMP ;GRUNDFOS;MG132SB2-38FF265-H3;85905122;NF;10.05;7.5;220/480;27.0/13.2;3530;60;3;0.90/0.82;NF;90.2;NF;132SB2;NF;NF;NF;NF;NF;NF;R;P;S;G
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;MOLYBDENUM CONCENTRATE FILTER HYDRAULIC PUMP ;GRUNDFOS;A98418851P31502;NF;CRS-18;10.05;7.5;460;0.00;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FLOTACION DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;MOLYBDENUM DRYER SCRUBBER WATER CIRCULATING PUMP ;WEG;NF;1019123725;NF;1.10;1.5;460;2.05;1760;60;3;0.78;1.5;86.5;NF;AL90S;6205-ZZ;6204-ZZ;40;F;L;NF;na;na;na;na
REAGENTES DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba a mesclador de diesel;WEG;TE1BFOXO#;1020865103;NF;1.00;0.75;460;1.63;1140;60;3;0.72;1.15;80.5;NF;90S;6205-ZZ;6204-ZZ;40;F;NF;20 Kg;R;I;S;G
REAGENTES DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba de transferencia de activador;WEG;TE1BFOXO#;1020865102;NF;1.00;0.75;460;1.63;1140;60;3;0.72;1.15;80.5;NF;90S;6205-ZZ;6204-ZZ;40;F;NF;20 Kg;R;I;S;G
REAGENTES DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba dosificadora de activador;PROMINENT;NF;2012105730;NF;0.05;0.035;230;0.41;13.1;60;na;na;na;na;NF;G0613SS10A311;NF;NF;na;na;na;na;na;na;na;na
REAGENTES DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de activador;PROMINENT;NF;2012105732;NF;0.05;0.035;230;0.41;13.1;60;na;na;na;na;NF;G0613SS10A311;NF;NF;na;na;na;na;na;na;na;na
REAGENTES DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba dosificadora de activador;WEG;NF;1045405222;90S-04;0.50;0.37;460;0.8;1760;60;3;0.74;1.15;NF;NF;90S-04;NF;6205-ZZ;6204-ZZ;F;NF;31 Kg;na;na;na;na
REAGENTES DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de activador;WEG;NF;1038600668;90S-04;0.50;0.37;460;0.8;1760;60;3;0.74;1.15;NF;NF;90S-04;NF;6205-ZZ;6204-ZZ;F;NF;31 Kg;na;na;na;na
REACTIVOS-NaHS;SALA 700;3300-MC-701-02;B;TAG  Motor;NaHS DILUTION PUMP;WEG;TE1BFOXO#;1030963937;NF;3.00;2.2;460;4.38;1155;60;3;0.72;1.15;NF;NF;112 M;6207-ZZ;6206-ZZ;40;F;NF;49 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1018272754;NF;1.00;0.75;460;1.5;1740;60;3;0.76;1.00;82.6;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;31Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1050731809;NF;1.01;0.75;460;1.54;1765;60;3;0.74;1.00;NF;NF;NF;6205-ZZ;6204-ZZ;30;F;NF;30 kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1050731809;NF;1.01;0.75;460;1.54;1765;60;3;0.74;1.00;NF;NF;NF;6205-ZZ;6204-ZZ;30;F;NF;30 Kg;R;P;S;G
